sample_set,from,to,presence
3_2,light wood,light wood,1
3_2,light wood,spices,1
3_2,light wood,umami,1
3_2,light wood,savory,1
3_2,spices,bitterness,0
3_2,spices,mouth-drying,0
3_2,spices,mushroom,0
3_2,spices,dusty,0
3_2,spices,off-flavors,0
3_2,spices,resin,0
3_2,spices,peach,0
3_2,spices,over ripe,0
3_2,spices,brown sugar,0
3_2,spices,floral,1
3_2,spices,dark wood,1
3_2,spices,tobacco,1
3_2,spices,light wood,1
3_2,spices,spices,1
3_2,spices,umami,1
3_2,spices,savory,1
3_2,umami,bitterness,0
3_2,umami,mouth-drying,0
3_2,umami,mushroom,0
3_2,umami,dusty,0
3_2,umami,off-flavors,0
3_2,umami,resin,0
3_2,umami,peach,0
3_2,umami,over ripe,0
3_2,umami,brown sugar,0
3_2,umami,floral,1
3_2,umami,dark wood,1
3_2,umami,tobacco,1
3_2,umami,light wood,1
3_2,umami,spices,1
3_2,umami,umami,1
3_2,umami,savory,1
3_2,savory,bitterness,0
3_2,savory,mouth-drying,0
3_2,savory,mushroom,0
3_2,savory,dusty,0
3_2,savory,off-flavors,0
3_2,savory,resin,0
3_2,savory,peach,0
3_2,savory,over ripe,0
3_2,savory,brown sugar,0
3_2,savory,floral,1
3_2,savory,dark wood,1
3_2,savory,tobacco,1
3_2,savory,light wood,1
3_2,savory,spices,1
3_2,savory,umami,1
3_2,savory,savory,1
4_2,fresh fruit,fresh fruit,1
4_2,fresh fruit,cherry / plum,1
4_2,fresh fruit,apricot,1
4_2,fresh fruit,tropical,1
4_2,fresh fruit,woody,0
4_2,fresh fruit,dark wood,0
4_2,fresh fruit,smoky,0
4_2,fresh fruit,meaty,0
4_2,fresh fruit,mushroom,0
4_2,fresh fruit,moss,0
4_2,fresh fruit,putrid,0
4_2,fresh fruit,over-fermented,0
4_2,fresh fruit,off-flavors,0
4_2,fresh fruit,over ripe,0
4_2,fresh fruit,acetic,0
4_2,fresh fruit,mineral,0
4_2,cherry / plum,fresh fruit,1
4_2,cherry / plum,cherry / plum,1
4_2,cherry / plum,apricot,1
4_2,cherry / plum,tropical,1
4_2,cherry / plum,woody,0
4_2,cherry / plum,dark wood,0
4_2,cherry / plum,smoky,0
4_2,cherry / plum,meaty,0
4_2,cherry / plum,mushroom,0
4_2,cherry / plum,moss,0
4_2,cherry / plum,putrid,0
4_2,cherry / plum,over-fermented,0
4_2,cherry / plum,off-flavors,0
4_2,cherry / plum,over ripe,0
4_2,cherry / plum,acetic,0
4_2,cherry / plum,mineral,0
4_2,apricot,fresh fruit,1
4_2,apricot,cherry / plum,1
4_2,apricot,apricot,1
4_2,apricot,tropical,1
4_2,apricot,woody,0
4_2,apricot,dark wood,0
4_2,apricot,smoky,0
4_2,apricot,meaty,0
4_2,apricot,mushroom,0
4_2,apricot,moss,0
4_2,apricot,putrid,0
4_2,apricot,over-fermented,0
4_2,apricot,off-flavors,0
4_2,apricot,over ripe,0
4_2,apricot,acetic,0
4_2,apricot,mineral,0
4_2,tropical,fresh fruit,1
4_2,tropical,cherry / plum,1
4_2,tropical,apricot,1
4_2,tropical,tropical,1
4_2,tropical,woody,0
4_2,tropical,dark wood,0
4_2,tropical,smoky,0
4_2,tropical,meaty,0
4_2,tropical,mushroom,0
4_2,tropical,moss,0
4_2,tropical,putrid,0
4_2,tropical,over-fermented,0
4_2,tropical,off-flavors,0
4_2,tropical,over ripe,0
4_2,tropical,acetic,0
4_2,tropical,mineral,0
4_2,woody,fresh fruit,0
4_2,woody,cherry / plum,0
4_2,woody,apricot,0
4_2,woody,tropical,0
4_2,woody,woody,1
4_2,woody,dark wood,1
4_2,woody,smoky,1
4_2,woody,meaty,0
4_2,woody,mushroom,0
4_2,woody,moss,0
4_2,woody,putrid,0
4_2,woody,over-fermented,0
4_2,woody,off-flavors,0
4_2,woody,over ripe,0
4_2,woody,acetic,0
4_2,woody,mineral,0
4_2,dark wood,fresh fruit,0
4_2,dark wood,cherry / plum,0
